occurrence_no,lng,lat,mid_ma
360085,36.049999,2.9,7.104
361384,36.049999,2.9,3.9605
361385,36.049999,2.9,3.9605
361386,36.049999,2.9,3.9605
361600,36.049999,2.9,3.9605
361601,36.049999,2.9,3.9605
361713,-80.397499,27.638332,0.06885
362041,-110.470001,49.119999,77.05
362145,-110.470001,49.119999,77.05
362177,-110.470001,49.119999,77.05
362352,-110.470001,49.119999,77.05
362392,-110.470001,49.119999,77.05
362554,-110.470001,49.119999,77.05
362582,-110.470001,49.119999,77.05
362612,-110.470001,49.119999,77.05
362633,-110.470001,49.119999,77.05
362680,-110.470001,49.119999,77.05
362792,-110.470001,49.119999,77.05
363228,-110.470001,49.119999,77.05
363657,-110.470001,49.119999,77.05
363970,-100.699997,44.766666,68.3
364225,-110.056389,36.81889,191
367954,8.75,34.25,8.4705
368322,72.466667,33.033333,8.4705
368323,73.300003,32.833332,8.4705
368324,73.883331,32.333332,8.4705
372363,-109.099998,49.5,68.3
372653,9,35,10.533
372657,8,34,10.533
372658,8,34,10.533
372659,8,34,10.533
372749,8,34,10.533
372763,8,34,10.533
372770,8,34,10.533
372771,8,34,10.533
372842,-85.026665,32.164165,78.2
372843,-85.026665,32.164165,78.2
372855,2.933333,43.349998,74.75
373606,-101.75,25.5,77.05
374084,-108.866669,44.983334,77.85
378110,-103.374168,28.940832,77.05
380070,102.25,16.700001,127.725
380073,102.25,16.700001,127.725
380645,102.25,16.716667,127.725
380652,102.25,16.683332,127.725
380886,102.25,16.65,127.725
380895,104.138924,16.541212,127.725
380906,104.25,17,127.725
380915,102.416702,17.1833,145.95
382126,146.050003,-7.016667,3.094
382143,-108.166946,36.269444,77.05
382147,5.1,50.8167,51.9
382148,5.1,50.8167,51.9
382149,5.1,50.8167,51.9
382150,5.1,50.8167,51.9
382511,-0.666667,40.666668,127.725
382516,-0.868747,40.664173,133.2
382517,-0.868747,40.664173,133.2
382518,-0.868747,40.664173,133.2
382519,-0.868747,40.664173,133.2
382570,-0.666667,40.666668,127.725
382571,-0.883291,40.647625,127.725
382583,-0.666667,40.666668,133.2
382584,-0.666667,40.666668,133.2
382585,-0.666667,40.666668,133.2
382587,0.9,42.166668,68.3
382735,4.783333,47.5,166.2
382736,5.024444,47.339722,166.2
382981,-108.486115,36.486111,77.05
382983,-108.486115,36.486111,77.05
383928,-108.535004,36.488335,77.05
383929,-108.535004,36.488335,77.05
383953,-108.513611,36.486111,77.05
384327,4.55,47.849998,158.45
384798,-9.116667,38.716667,18.205
384807,-9.116667,38.716667,18.205
384808,-9.116667,38.716667,18.205
384825,-9.116667,38.716667,18.205
384826,-9.116667,38.716667,18.205
384827,-9.116667,38.716667,18.205
384835,-9.116667,38.716667,18.205
384841,-9.116667,38.716667,18.205
385022,28.516666,-30.433332,196.05
385023,27.6,-30.9667,186.75
385152,-70.194786,-39.481979,127.2
385432,-107.978615,41.673058,52.2
386879,-68.783333,-38.349998,89.65
388543,37.5,5.25,1.6845
388547,37.5,5.25,1.6845
388920,-2.634513,42.664555,77.05
388969,-2.634513,42.664555,77.05
388970,-2.634513,42.664555,77.05
388979,-2.634513,42.664555,77.05
388980,-2.634513,42.664555,77.05
389407,6.2167,44.016701,17.13
389931,-93.667778,30.999722,14.785
391681,72.245834,41.334442,164.8
391697,72.166664,41.25,164.8
392720,-113.75,48.633301,77.85
393083,130.243607,48.857498,69.05
393100,-111.484657,50.750553,77.05
393107,-98,38,102.45
395178,37.5,5.25,1.6845
395213,136.544724,36.121387,119
395640,35.75,3.333333,18.205
396108,44.0592,48.625599,62.6
396109,44.0592,48.625599,62.6
396114,44.0592,48.625599,57.25
396869,130.859451,49.082779,68.3
397540,-68.800003,-45.5,39.65
401741,147.790604,-29.450109,96.55
401743,147.983307,-29.4333,96.55
402866,104.852501,29.411388,160.4
403044,31.145,16.695,74.8
403160,31.145,16.695,74.8
403166,31.145,16.695,74.8
404727,2.833333,39.683334,39.65
404805,-2.866667,42.666668,35.55
405428,34.025002,-10.283333,119
405430,34.025002,-10.283333,119
405432,34.025002,-10.283333,119
405436,34.025002,-10.283333,119
405437,34.025002,-10.283333,119
405438,34.025002,-10.283333,119
405439,34.025002,-10.283333,119
405447,14.791533,8.345053,112.75
405644,1.75,41.833332,44.95
405698,-2.12,50.651001,39.65
405991,-1.26667,51.866669,166.2
405992,-1.26667,51.866669,166.2
406505,71.655556,32.929169,11.608
407560,80,29,3.094
407561,80,29,3.094
407562,80,29,3.094
407579,76.800003,30.75,3.094
407580,76.800003,30.75,3.094
407581,76.800003,30.75,3.094
407979,35.049999,32.716667,0.06885
408073,-105.963402,41.9077,151.15
408092,-105.224701,38.539501,150.35
408132,46.582222,-15.907778,69.05
408758,-106.021599,41.893101,148.55
408765,-106.021599,41.893101,148.55
408769,-106.00222,41.893055,151.15
408783,-106.00222,41.893055,151.15
408858,-106.1073,41.8825,151.15
408919,-105.192596,39.675598,150.35
409282,8.7333,49.9333,44.5
409283,8.7333,49.9333,44.5
409356,-106.00222,41.893055,148.55
409373,-106.079803,41.994999,148.55
409385,-106.021599,41.893101,148.55
409423,-106,41.893055,151.15
410425,-1.592778,50.724998,35.55
410539,-1.592778,50.724998,35.95
410870,87.957779,55.903332,119
411743,-1.592778,50.724998,35.55
411874,-67.716667,-45.400002,51.9
412207,-1.592778,50.724998,35.95
412407,-1.592778,50.724998,35.55
412452,-1.592778,50.724998,35.95
412478,-1.592778,50.724998,39.65
413783,-1.55,50.629166,35.55
414846,8.7333,49.9333,44.5
416332,-2.116667,41.533333,39.65
416333,-2.116667,41.533333,39.65
419606,-1.35,39.483334,7.0165
420701,-5.5,40.983334,35.55
426835,-67.407501,-26.061943,35.95
